ページ番号,ページタイトル,COMS PDF該当ページ,分類,内容・備考,確認ステータス
35,5. (4)運転装置 - ホーン・キースイッチ・シフトレバー,36,書き換え（要修正）,キースイッチ→プッシュスタートボタンに変更、シフトレバー操作（物理レバーorボタン式）の確認が必要,未確認
36,5. 運転装置 - パーキングブレーキ・ブレーキ,37,書き換え（要修正）,前後ディスクブレーキに変更、回生ブレーキの説明更新、パーキングブレーキ（電動式か機械式か要確認）,未確認
37,5. 運転装置 - シート・ミラー,38,要確認（判断保留）,Lean3のシート調整機構（前後スライド・リクライニング）、ミラー仕様（手動or電動）の確認が必要,未確認
38,5. 運転装置（続き）,該当なし（新規追加）,追加（新規作成）,エアコン操作方法を新規追加（冷暖房、温度・風量調整、デフロスター、航続距離への影響）,未確認
39,6. 快適装備 - (1)収納装備,39,要確認（判断保留）,Lean3の収納装備（グローブボックス、ドアポケット、カップホルダー、USB充電ポート）の詳細確認が必要,未確認
40,6. (2)その他の装備 - 外気導入ダクト・リヤデッキ,40,削除（不要）,エアコン搭載により外気導入ダクトは不要、B-COMベーシック仕様のリヤデッキは削除,未確認
41,6. (3)車両仕様別装備 - トランクボックス,41,削除（不要）,P-COM仕様のトランクボックスは削除（Lean3には該当装備なし）,未確認
42,6.滑り止めマット,42,削除（不要）,トランクボックス用の滑り止めマットは削除,未確認
43,6. デリバリーボックス,43,削除（不要）,B-COMデリバリー仕様のデリバリーボックスは削除（Lean3には該当装備なし）,未確認
44,6. 滑り止めマット,44,削除（不要）,デリバリーボックス用の滑り止めマットは削除,未確認
45,6. デッキ,45,削除（不要）,B-COMデッキ仕様のデッキは削除（Lean3には該当装備なし）,未確認
46,6. (4)オプション部品 - アルミホイール・アクセサリー電源,46,書き換え（要修正）,アルミホイールオプションの有無確認、アクセサリー電源ソケット→USB Type-C充電ポートに変更,未確認
47,6. オプション - キャンバスドア・サンバイザー等,47,削除（不要）,COMS専用オプション（キャンバスドア、リヤキャンバス、サンバイザー）は削除,未確認
48,6. お手入れの仕方,48,流用（そのまま使用）,ボディー・内装の清掃方法は流用可能（Lean3用ボディーカバーの有無確認が必要）,未確認
49,キャンバスドアの取り外し,49,削除（不要）,COMS専用オプションのため削除,未確認
50,キャンバスドアの取り付け,50,削除（不要）,COMS専用オプションのため削除,未確認
51,キャンバスドアの取り付け（続き）,51,削除（不要）,COMS専用オプションのため削除,未確認
52,キャンバスドアの取り付け（続き2）,52,削除（不要）,COMS専用オプションのため削除,未確認
53,キャンバスドアの保管方法,53,削除（不要）,COMS専用オプションのため削除,未確認
54,リヤキャンバスの取り外し,54,削除（不要）,COMS専用オプションのため削除,未確認
55,リヤキャンバスの取り付け,55,削除（不要）,COMS専用オプションのため削除,未確認
56,リヤキャンバスの保管方法,56,削除（不要）,COMS専用オプションのため削除,未確認
57,ボディーカバー,57,削除（不要）,COMS専用オプションのため削除（Lean3用ボディーカバーがあれば別途追加）,未確認
58,ボディーカバーの使用方法,58,削除（不要）,COMS専用オプションのため削除,未確認
59,ボディーカバーの使用方法（続き）,59,削除（不要）,COMS専用オプションのため削除,未確認
60,6. オプション（続き）,該当なし（新規追加）,追加（新規作成）,ISOFIXチャイルドシート（台湾仕様のみ）の説明を新規追加: 固定点位置、対応チャイルドシート、取り付け方法,未確認
61,7. 運転操作 - (1)走行する前に,60,書き換え（要修正）,Active Lean Technologyの運転前確認を追加、キースイッチ→スタートボタンに変更、タッチスクリーンの初期確認,未確認
62,7. 走行する前に（続き）,61,流用（そのまま使用）,シート調整、ミラー調整、足元確認、周囲の安全確認などは流用可能,未確認
63,7. (2)走行,該当なし（新規追加）,追加（新規作成）,Active Lean Technologyの運転方法（最重要）を新規作成: 傾斜原理、体の姿勢、半回転ハンドル操作、速度と傾斜角の関係（最大28度）,未確認
64,7. 走行（続き）,61,書き換え（要修正）,バッテリー残量警告を8目盛→%表示+推定航続距離（km）に変更,未確認
65,7. (3)停車,62,流用（そのまま使用）,ブレーキで停車、シフトレバーN、パーキングブレーキの基本操作は流用可能,未確認
66,7. (4)駐車,63,流用（そのまま使用）,パーキングブレーキ、シフトP、電源OFF、ハンドルロックの基本は流用可能,未確認
67,8. 寒冷時の取扱い,64,書き換え（要修正）,LFPバッテリーの低温特性を追加（0℃以下での出力低下・航続距離減少、-10℃以下での充電制限）,未確認
68,8. 寒冷時（続き）,65,書き換え（要修正）,ヒーター使用時の航続距離への影響、タイヤチェーン装着位置（前輪2輪推奨?）、バッテリーウォーマー機能の有無,未確認
69,9. メンテナンス - (1)日常点検,66,書き換え（要修正）,Active Lean Technologyの点検項目を追加、タイヤサイズ変更（前90/90 R14、後150/70 R14）,未確認
70,9. 日常点検（続き）,67,削除（不要）,バッテリー液量点検など鉛バッテリー特有の項目を削除（LFPは密閉型のためメンテナンス不要）,未確認
71,9. 日常点検（続き2）,68,書き換え（要修正）,タイヤ空気圧、ワイパー、ブレーキの点検は流用可能（空気圧数値はLean3仕様に変更）,未確認
72,9. (2)お手入れ,69,流用（そのまま使用）,ボディー・内装の清掃方法、ワックスがけ、タッチスクリーン清掃方法は流用可能,未確認
73,9. (3)電球交換,70,書き換え（要修正）,LED化により電球交換説明を大幅簡略化（基本的にユーザー交換不可、販売店対応）,未確認
74,9. 電球交換 - 前照灯,71,削除（不要）,LED交換手順は削除（ユーザー交換不可、販売店対応）,未確認
75,9. 電球交換 - フロント方向指示灯等,72,削除（不要）,LED交換手順は削除（ユーザー交換不可、販売店対応）,未確認
76,9. 電球交換 - リヤランプ類,73,削除（不要）,LED交換手順は削除（ユーザー交換不可、販売店対応）,未確認
77,9. 電球交換 - 後退灯・番号灯等,74,削除（不要）,LED交換手順は削除（ユーザー交換不可、販売店対応）,未確認
78,9. (4)その他の点検整備,75,書き換え（要修正）,タイヤ位置交換（前後サイズ異なるため前は前、後は後で左右交換のみ）、定期点検間隔の確認,未確認
79,9. (5)メンテナンスデータ,76,要確認（判断保留）,車両重量・総重量、タイヤ空気圧（前後）、ブレーキフルード種類、ウォッシャー液容量などLean3の実データが必要,未確認
80,9. メンテナンスデータ（続き）,77,要確認（判断保留）,消耗品交換時期一覧（ブレーキパッド、タイヤ、ワイパー等）、定期点検項目などLean3のデータが必要,未確認
81,10. 万一の場合 - (1)警告機能,該当なし（新規追加）,追加（新規作成）,Active Lean Technology異常時の対処方法を新規追加: 警告表示、セーフモード、緊急停止処理,未確認
82,10. 警告機能（続き）,78,書き換え（要修正）,物理警告灯→ディスプレイ内警告アイコン・メッセージ表示に変更、各種警告の意味と対処方法,未確認
83,10. 警告機能（続き2）,79,流用（そのまま使用）,バッテリー残量警告、警告音の種類と意味の基本は流用可能,未確認
84,10. 警告機能（続き3）,80,流用（そのまま使用）,その他の警告・注意表示（温度異常、システム異常等）の基本は流用可能,未確認
85,10. (2)けん引,81,書き換え（要修正）,三輪車両（前2輪・後1輪）のけん引方法、けん引フック位置、傾斜機構のロック方法、けん引時の注意事項,未確認
86,10. (3)固縛ポイント、(4)ジャッキアップ,82,要確認（判断保留）,三輪車両のジャッキアップポイント図解、前2輪を同時に上げる際の注意、スタンド支持ポイントの確認が必要,未確認
87,11. 廃棄するとき,83,書き換え（要修正）,製造・販売会社をトヨタ車体→Lean Mobility株式会社に変更、LFPバッテリーの適切な廃棄・リサイクル方法を追加,未確認
88,連絡先,84,書き換え（要修正）,トヨタ車体の連絡先（0120-100-804）→Lean Mobility株式会社の連絡先に変更（電話番号・住所要確認）,未確認
89,裏表紙,86,書き換え（要修正）,会社ロゴ・社名をLean Mobilityに変更,未確認
